uri,download,format
http://bartoc.org/en/node/1048,https://api.dante.gbv.de/export/download/hornbostelsachs/default/hornbostelsachs__default.jskos.ndjson,jskos
http://bartoc.org/en/node/1644,https://github.com/nfdi4objects/crm-rdf-ap/raw/refs/heads/main/cidoc-crm.rdf,rdf+xml
http://bartoc.org/en/node/1683,https://n2t.net/ark:/99152/p0dataset.ttl,turtle
http://bartoc.org/en/node/18274,https://github.com/nfdi4objects/crm-rdf-ap/raw/refs/heads/main/skos.rdf,rdf+xml
http://bartoc.org/en/node/18311,https://www.w3.org/2006/time,turtle
http://bartoc.org/en/node/17844,https://github.com/nfdi4objects/crm-rdf-ap/raw/refs/heads/main/bibo.ttl,turtle
https://bartoc.org/en/node/109,http://tgndownloads.getty.edu/VocabData/full.zip#TGNOut_Full.nt,turtle+zip
https://bartoc.org/en/node/118,http://ulandownloads.getty.edu/VocabData/full.zip#ULANOut_Full.nt,turtle+zip
https://bartoc.org/en/node/1787,http://numismatics.org/ocre/pelagios.rdf,rdf+xml
https://bartoc.org/en/node/17990,https://opengeospatial.github.io/ogc-geosparql/geosparql11/geo.ttl,turtle
https://bartoc.org/en/node/18070,https://raw.githubusercontent.com/hbz/lobid-vocabs/master/lobid-vocab.ttl,turtle
https://bartoc.org/en/node/1822,https://coli-conc.gbv.de/api/voc/concepts?uri=http%3A%2F%2Fbartoc.org%2Fen%2Fnode%2F1822&download=ndjson,jskos
https://bartoc.org/en/node/75,http://aatdownloads.getty.edu/VocabData/full.zip#AATOut_Full.nt,turtle+zip
https://bartoc.org/en/node/18653,https://xtree-public.digicult-verbund.de/generate_rdf_dev/output/concept_scheme?uri=http://terminology.lido-schema.org/actor_type&format=xml,rdf+xml
https://bartoc.org/en/node/18514,http://purl.org/heritagedata/schemes/eh_period.ttl,turtle
https://bartoc.org/en/node/18654,https://xtree-public.digicult-verbund.de/generate_rdf_dev/output/concept_scheme?uri=http://terminology.lido-schema.org/eventType&format=xml,rdf+xml
https://bartoc.org/en/node/18655,https://xtree-public.digicult-verbund.de/generate_rdf_dev/output/concept_scheme?uri=http://terminology.lido-schema.org/identifier_type&format=xml,rdf+xml
https://bartoc.org/en/node/18656,https://xtree-public.digicult-verbund.de/generate_rdf_dev/output/concept_scheme?uri=http://terminology.lido-schema.org/recordMetadataDate_type&format=xml,rdf+xml
https://bartoc.org/en/node/18657,https://xtree-public.digicult-verbund.de/generate_rdf_dev/output/concept_scheme?uri=http://terminology.lido-schema.org/recordType&format=xml,rdf+xml
https://bartoc.org/en/node/18658,https://xtree-public.digicult-verbund.de/generate_rdf_dev/output/concept_scheme?uri=http://terminology.lido-schema.org/repositorySet_type&format=xml,rdf+xml
https://bartoc.org/en/node/18659,https://xtree-public.digicult-verbund.de/generate_rdf_dev/output/concept_scheme?uri=http://terminology.lido-schema.org/resourceRepresentation_type&format=xml,rdf+xml
https://bartoc.org/en/node/18660,https://xtree-public.digicult-verbund.de/generate_rdf_dev/output/concept_scheme?uri=http://terminology.lido-schema.org/termMaterialsTech_type&format=xml,rdf+xml
https://bartoc.org/en/node/1940,https://dumps.wikimedia.org/wikidatawiki/entities/latest-all.ttl.gz,turtle
https://bartoc.org/en/node/2021,https://orcid.figshare.com/ndownloader/articles/27151305/versions/1,rdf+xml
https://bartoc.org/en/node/430,https://data.dnb.de/opendata/authorities-gnd_lds.nt.gz,turtle
https://bartoc.org/en/node/452,https://museumsvokabular.de/sites/museumsvokabular/files/vocabulary/downloads/Grobsystematik-kleine-museen-rdf.zip,rdf+xml+zip
https://bartoc.org/en/node/487,https://museumsvokabular.de/sites/museumsvokabular/files/vocabulary/downloads/systematik-moebel.zip#systematik-moebel.rdf,rdf+xml+zip
https://bartoc.org/en/node/489,http://uri.gbv.de/terminology/hessischesystematik/?format=jskos,jskos
https://bartoc.org/en/node/49,https://heritagedata.org/live/FISH_Archaeological_Objects_20220310.rdf,rdf+xml
https://bartoc.org/en/node/53,https://heritagedata.org/live/FISH_Components_20220311.rdf,rdf+xml
https://bartoc.org/en/node/54,https://heritagedata.org/live/FISH_Event_Type_20240528.rdf,rdf+xml
https://bartoc.org/en/node/55,https://heritagedata.org/live/Evidence_20190717.rdf,rdf+xml
https://bartoc.org/en/node/56,https://heritagedata.org/live/Building_Materials_20200807.rdf,rdf+xml
https://bartoc.org/en/node/57,https://heritagedata.org/live/FISH_Maritime_Craft_20190718.rdf,rdf+xml
https://bartoc.org/en/node/59,https://heritagedata.org/live/FISH_Monument_Type_20200731.rdf,rdf+xml
https://bartoc.org/en/node/658,https://heritagedata.org/data/hes/hes_2_20180328.rdf,rdf+xml
https://bartoc.org/en/node/662,https://heritagedata.org/live/seneschal_rc_11_20130717.rdf,rdf+xml
https://bartoc.org/en/node/660,https://heritagedata.org/data/hes/hes_1_20180328.rdf,rdf+xml
https://bartoc.org/en/node/661,https://heritagedata.org/live/seneschal_rc_10_20130717.rdf,rdf+xml
https://bartoc.org/en/node/659,https://heritagedata.org/data/hes/hes_3_20180328.rdf,rdf+xml
https://bartoc.org/en/node/20411,https://isl.ics.forth.gr/bbt-federated-thesaurus/downloads/DAI_v1.2.rdf,rdf+xml
https://bartoc.org/en/node/20412,https://vocabs-downloads.acdh.oeaw.ac.at/vocabs-main/GeneralConcepts/VICAVTaxonomy/vicavdialects.ttl,turtle
https://bartoc.org/en/node/20413,https://vocabs-downloads.acdh.oeaw.ac.at/vocabs-main/CulturalHistory/legalkraus/legalkraus.rdf,rdf+xml
https://bartoc.org/en/node/20415,https://vocabs-downloads.acdh.oeaw.ac.at/vocabs-main/Archaeology/DEFC/defc.rdf,rdf+xml
https://bartoc.org/en/node/20416,https://vocabs-downloads.acdh.oeaw.ac.at/vocabs-main/Archaeology/IronAgeDanube/iad.rdf,rdf+xml
https://bartoc.org/en/node/20417,https://vocabs-downloads.acdh.oeaw.ac.at/vocabs-main/ARCHE/arche_licenses/archelicenses.rdf,rdf+xml
https://bartoc.org/en/node/20418,https://vocabs-downloads.acdh.oeaw.ac.at/vocabs-main/ARCHE/arche_oaisets/archeoaisets.rdf,rdf+xml
https://bartoc.org/en/node/20463,https://hist-arch-vocab.org/bvha/ontology.rdf,rdf+xml
https://bartoc.org/en/node/20469,https://raw.githubusercontent.com/archaeolink/navisone-maritime-thesaurus/refs/heads/main/data/navisone_maritime_thesaurus.ttl,turtle
https://bartoc.org/en/node/20476,https://vocabs-downloads.acdh.oeaw.ac.at/vocabs-main/Misc/graphis-imgreg/graphis-imgreg.ttl,turtle
https://bartoc.org/en/node/20478,https://heritagedata.org/data/hes/hes_scapa_20180329.rdf,rdf+xml
https://bartoc.org/en/node/20533,https://api.dante.gbv.de/export/download/kenom_material/default/kenom_material__default.jskos.jsonld,jskos
